TransactionAmount,MerchantCategory,TransactionTime,CustomerAge,Location,DeviceType,fraud
3751.66,Electronics,2024-01-07 02:41:36.192384769,59,Suburban,Mobile,0
9507.64,Electronics,2024-01-07 02:41:36.192384769,19,Rural,POS,0
7322.62,Electronics,2024-01-07 02:41:36.192384769,20,Suburban,Desktop,0
5990.6,Travel,2024-01-07 02:41:36.192384769,40,Suburban,Desktop,0
1568.63,Restaurants,2024-01-07 02:41:36.192384769,29,Rural,Mobile,0
1568.39,Travel,2024-01-07 02:41:36.192384769,37,Rural,Desktop,0
590.26,Restaurants,2024-01-07 02:41:36.192384769,22,Rural,Mobile,0
8663.1,Travel,2024-01-07 02:41:36.192384769,54,Urban,Desktop,0
6015.14,Travel,2024-01-07 02:41:36.192384769,55,Suburban,Mobile,0
7083.65,Clothing,2024-01-07 02:41:36.192384769,47,Urban,POS,0
215.64,Travel,2024-01-07 02:41:36.192384769,26,Urban,Desktop,0
9699.4,Groceries,2024-01-07 02:41:36.192384769,51,Rural,Desktop,0
8326.1,Clothing,2024-01-07 02:41:36.192384769,61,Urban,Mobile,0
2131.27,Travel,2024-01-07 02:41:36.192384769,52,Rural,Mobile,0
1826.43,Electronics,2024-01-07 02:41:36.192384769,69,Suburban,Desktop,0
1842.21,Groceries,2024-01-07 02:41:36.192384769,39,Rural,Mobile,1
3049.38,Groceries,2024-01-07 02:41:36.192384769,61,Urban,Desktop,0
5252.32,Groceries,2024-01-07 02:41:36.192384769,41,Urban,POS,0
4325.13,Clothing,2024-01-07 02:41:36.192384769,34,Rural,Mobile,0
2919.38,Travel,2024-01-07 02:41:36.192384769,27,Rural,Desktop,0
6122.41,Travel,2024-01-07 02:41:36.192384769,47,Urban,POS,0
1403.54,Electronics,2024-01-07 02:41:36.192384769,63,Suburban,POS,1
2928.53,Electronics,2024-01-07 02:41:36.192384769,40,Suburban,Desktop,0
3669.95,Groceries,2024-01-07 02:41:36.192384769,49,Rural,Mobile,0
4566.14,Electronics,2024-01-07 02:41:36.192384769,34,Suburban,Desktop,0
7853.91,Clothing,2024-01-07 02:41:36.192384769,67,Urban,POS,0
2004.74,Travel,2024-01-07 02:41:36.192384769,68,Rural,Desktop,0
5147.2,Groceries,2024-01-07 02:41:36.192384769,34,Urban,Mobile,0
5928.22,Electronics,2024-01-07 02:41:36.192384769,31,Urban,POS,0
474.04,Clothing,2024-01-07 02:41:36.192384769,26,Suburban,Desktop,0
6079.37,Clothing,2024-01-07 02:41:36.192384769,57,Rural,Mobile,0
1713.54,Electronics,2024-01-07 02:41:36.192384769,19,Rural,POS,0
659.87,Travel,2024-01-07 02:41:36.192384769,62,Suburban,Mobile,0
9489.37,Electronics,2024-01-07 02:41:36.192384769,42,Urban,POS,0
9656.66,Groceries,2024-01-07 02:41:36.192384769,56,Urban,Desktop,0
8085.89,Electronics,2024-01-07 02:41:36.192384769,26,Urban,Mobile,0
3053.09,Clothing,2024-01-07 02:41:36.192384769,39,Urban,POS,0
